ID,Name,Type,Category,PP,Power,Accuracy,SwSh,BDSP,LA,Contact,Target,SwSh_TM,SwSh_TM_No,BDSP_TM,BDSP_TM_No,is_TR,TR,Priority,Multihit,Charge,Recharge,Binding,Sound,Powder,Recoil,Gen
32,Horn Drill,Normal,Physical,5,5000,30,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
33,Tackle,Normal,Physical,35,40,100,TRUE,TRUE,TRUE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
34,Body Slam,Normal,Physical,15,85,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,TRUE,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
35,Wrap,Normal,Physical,20,15,90,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
36,Take Down,Normal,Physical,20,90,85,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,25,1
37,Thrash,Normal,Physical,10,120,100,TRUE,TRUE,FALSE,TRUE,random,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
38,Double-Edge,Normal,Physical,15,120,100,TRUE,TRUE,TRUE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,33,1
39,Tail Whip,Normal,Status,30,0,100,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
40,Poison Sting,Poison,Physical,35,15,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
41,Twineedle,Bug,Physical,20,25,100,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
42,Pin Missile,Bug,Physical,20,25,95,TRUE,TRUE,TRUE,FALSE,single,TRUE,7,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
43,Leer,Normal,Status,30,0,100,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
44,Bite,Dark,Physical,25,60,100,TRUE,TRUE,TRUE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
45,Growl,Normal,Status,40,0,100,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
46,Roar,Normal,Status,20,0,101,TRUE,TRUE,FALSE,FALSE,single,FALSE,,TRUE,5,FALSE,,-6,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
47,Sing,Normal,Status,15,0,55,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
48,Supersonic,Normal,Status,20,0,55,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
49,Sonic Boom,Normal,Special,20,0,90,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
50,Disable,Normal,Status,20,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
51,Acid,Poison,Special,30,40,100,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
52,Ember,Fire,Special,25,40,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
53,Flamethrower,Fire,Special,15,90,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,35,TRUE,2,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
54,Mist,Ice,Status,30,0,101,TRUE,TRUE,FALSE,FALSE,allies,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
55,Water Gun,Water,Special,25,40,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
56,Hydro Pump,Water,Special,5,110,80,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,TRUE,3,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
57,Surf,Water,Special,15,90,100,TRUE,TRUE,FALSE,FALSE,all but self,FALSE,,TRUE,95,TRUE,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
58,Ice Beam,Ice,Special,10,90,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,13,TRUE,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
59,Blizzard,Ice,Special,5,110,70,TRUE,TRUE,TRUE,FALSE,double,FALSE,,TRUE,14,TRUE,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
60,Psybeam,Psychic,Special,20,65,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
61,Bubble Beam,Water,Special,20,65,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
62,Aurora Beam,Ice,Special,20,65,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
63,Hyper Beam,Normal,Special,5,150,90,TRUE,TRUE,TRUE,FALSE,single,TRUE,8,TRUE,15,FALSE,,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,1
64,Peck,Flying,Physical,35,35,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
65,Drill Peck,Flying,Physical,20,80,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
66,Submission,Fighting,Physical,20,80,80,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,25,1
67,Low Kick,Fighting,Physical,20,0,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,TRUE,7,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
68,Counter,Fighting,Physical,20,0,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,-5,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
69,Seismic Toss,Fighting,Physical,20,0,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
70,Strength,Normal,Physical,15,80,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,TRUE,96,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
71,Absorb,Grass,Special,25,20,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
72,Mega Drain,Grass,Special,15,40,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
73,Leech Seed,Grass,Status,10,0,90,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
74,Growth,Normal,Status,20,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
75,Razor Leaf,Grass,Physical,25,55,95,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
76,Solar Beam,Grass,Special,10,120,100,TRUE,TRUE,FALSE,FALSE,single,TRUE,11,TRUE,22,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
77,Poison Powder,Poison,Status,35,0,75,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,1
78,Stun Spore,Grass,Status,30,0,75,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,1
79,Sleep Powder,Grass,Status,15,0,75,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,1
80,Petal Dance,Grass,Special,10,120,100,TRUE,TRUE,TRUE,TRUE,random,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
81,String Shot,Bug,Status,40,0,95,TRUE,TRUE,FALSE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
82,Dragon Rage,Dragon,Special,10,0,100,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
83,Fire Spin,Fire,Special,15,35,85,TRUE,TRUE,FALSE,FALSE,single,TRUE,13,FALSE,,FALSE,,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
84,Thunder Shock,Electric,Special,30,40,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
85,Thunderbolt,Electric,Special,15,90,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,24,TRUE,8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
86,Thunder Wave,Electric,Status,20,0,90,TRUE,TRUE,TRUE,FALSE,single,TRUE,14,TRUE,73,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
87,Thunder,Electric,Special,10,110,70,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,25,TRUE,9,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
88,Rock Throw,Rock,Physical,15,50,90,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
89,Earthquake,Ground,Physical,10,100,100,TRUE,TRUE,FALSE,FALSE,all,FALSE,,TRUE,26,TRUE,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
90,Fissure,Ground,Physical,5,5000,30,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
91,Dig,Ground,Physical,10,80,100,TRUE,TRUE,FALSE,TRUE,single,TRUE,15,TRUE,28,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
92,Toxic,Poison,Status,10,0,90,TRUE,TRUE,FALSE,FALSE,single,FALSE,,TRUE,6,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
93,Confusion,Psychic,Special,25,50,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
94,Psychic,Psychic,Special,10,90,100,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,29,TRUE,11,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
95,Hypnosis,Psychic,Status,20,0,60,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
96,Meditate,Psychic,Status,40,0,101,FALSE,FALSE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
97,Agility,Psychic,Status,30,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,TRUE,12,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
98,Quick Attack,Normal,Physical,30,40,100,TRUE,TRUE,TRUE,TRUE,single,FALSE,,FALSE,,FALSE,,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
99,Rage,Normal,Physical,20,20,100,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
100,Teleport,Psychic,Status,20,0,101,TRUE,TRUE,TRUE,FALSE,self,FALSE,,FALSE,,FALSE,,-6,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
101,Night Shade,Ghost,Special,15,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
102,Mimic,Normal,Status,10,0,101,TRUE,TRUE,TRUE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
103,Screech,Normal,Status,40,0,85,TRUE,TRUE,FALSE,FALSE,single,TRUE,16,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1
104,Double Team,Normal,Status,15,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,TRUE,32,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
105,Recover,Normal,Status,10,0,101,TRUE,TRUE,TRUE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
106,Harden,Normal,Status,30,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
107,Minimize,Normal,Status,10,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
108,Smokescreen,Normal,Status,20,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
109,Confuse Ray,Ghost,Status,10,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
110,Withdraw,Water,Status,40,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
111,Defense Curl,Normal,Status,40,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
112,Barrier,Psychic,Status,20,0,101,FALSE,FALSE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
113,Light Screen,Psychic,Status,30,0,101,TRUE,TRUE,FALSE,FALSE,allies,TRUE,17,TRUE,16,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
114,Haze,Ice,Status,30,0,101,TRUE,TRUE,FALSE,FALSE,all,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
115,Reflect,Psychic,Status,20,0,101,TRUE,TRUE,FALSE,FALSE,allies,TRUE,18,TRUE,33,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
116,Focus Energy,Normal,Status,30,0,101,TRUE,TRUE,TRUE,FALSE,self,FALSE,,FALSE,,TRUE,13,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
117,Bide,Normal,Physical,10,0,101,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
118,Metronome,Normal,Status,10,0,101,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,TRUE,14,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
119,Mirror Move,Flying,Status,20,0,101,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
120,Self-Destruct,Normal,Physical,5,200,100,TRUE,TRUE,TRUE,FALSE,all,TRUE,20,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
121,Egg Bomb,Normal,Physical,10,100,75,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
122,Lick,Ghost,Physical,30,30,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
123,Smog,Poison,Special,20,30,70,TRUE,TRUE,FALSE,FALSE,all but self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
124,Sludge,Poison,Special,20,65,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
125,Bone Club,Ground,Physical,20,65,85,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
126,Fire Blast,Fire,Special,5,110,85,TRUE,TRUE,TRUE,FALSE,single,FALSE,,TRUE,38,TRUE,15,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
127,Waterfall,Water,Physical,15,80,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,TRUE,99,TRUE,16,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
128,Clamp,Water,Physical,15,35,85,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,0,1
129,Swift,Normal,Special,20,60,101,TRUE,TRUE,TRUE,FALSE,double,TRUE,40,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
130,Skull Bash,Normal,Physical,10,130,100,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
131,Spike Cannon,Normal,Physical,15,20,100,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
132,Constrict,Normal,Physical,35,10,100,FALSE,FALSE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
133,Amnesia,Psychic,Status,20,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,TRUE,17,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
134,Kinesis,Psychic,Status,15,0,80,FALSE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
135,Soft-Boiled,Normal,Status,10,0,101,TRUE,TRUE,TRUE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
136,High Jump Kick,Fighting,Physical,10,130,90,TRUE,TRUE,FALSE,TRUE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
137,Glare,Normal,Status,30,0,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
138,Dream Eater,Psychic,Special,15,100,100,TRUE,TRUE,FALSE,FALSE,single,FALSE,,TRUE,85,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
139,Poison Gas,Poison,Status,40,0,90,TRUE,TRUE,TRUE,FALSE,double,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
140,Barrage,Normal,Physical,20,15,85,FALSE,FALSE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,5,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
141,Leech Life,Bug,Physical,10,80,100,TRUE,TRUE,TRUE,TRUE,single,FALSE,,FALSE,,TRUE,18,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
142,Lovely Kiss,Normal,Status,10,0,75,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
143,Sky Attack,Flying,Physical,5,140,90,TRUE,TRUE,FALSE,FALSE,single,FALSE,,FALSE,,FALSE,,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,1
144,Transform,Normal,Status,10,0,101,TRUE,TRUE,FALSE,FALSE,self,FALSE,,FALSE,,FALSE,,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,1
